review_id,case_id,timestamp,status,reviewer,reason,ai_root_cause,human_root_cause,ai_confidence,human_confidence,ai_osi_layer,human_osi_layer,is_mock
REV-7BBE6C,NET-001,2026-08-23T17:19:42.320448+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-7BBE6C,NET-001,2026-08-23T17:19:42.329440+00:00,ACCEPTED,Aman,Looks accurate.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-6C737F,NET-001,2026-08-23T17:19:42.331725+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-6C737F,NET-001,2026-08-23T17:19:42.336194+00:00,ACCEPTED,AuditTester,Audit log validation.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-AA66AB,NET-001,2026-08-23T17:19:42.338295+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-AA66AB,NET-001,2026-08-23T17:19:42.343416+00:00,ACCEPTED,Aman,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-F2BB0D,NET-001,2026-08-23T17:19:42.347591+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-F2BB0D,NET-001,2026-08-23T17:19:42.350212+00:00,ACCEPTED,Rev1,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-72365A,NET-001,2026-08-23T17:19:42.352134+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-72365A,NET-001,2026-08-23T17:19:42.355106+00:00,MODIFIED,Rev2,Correction,Router sub-interface GigabitEthernet0/0.10 is down.,Correction test,0.95,0.95,Layer 3,Layer 3,True
REV-86AFEB,NET-001,2026-08-23T17:19:42.358730+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-86AFEB,NET-001,2026-08-23T17:19:42.363008+00:00,REJECTED,Rev3,Rejection test,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-9DAFBD,NET-001,2026-08-23T17:19:42.365910+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-2E78E4,NET-001,2026-08-23T17:19:42.368901+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-2E78E4,NET-001,2026-08-23T17:19:42.371943+00:00,MODIFIED,Aman,Refined root cause explanation for clarity.,Router sub-interface GigabitEthernet0/0.10 is down.,Human corrected root cause: VLAN 10 interface shutdown.,0.95,1.0,Layer 3,Layer 3,True
REV-00EA43,NET-001,2026-08-23T17:19:42.375776+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-EE140C,NET-001,2026-08-23T17:19:42.379801+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-752589,NET-001,2026-08-23T17:19:42.383310+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-752589,NET-001,2026-08-23T17:19:42.386626+00:00,REJECTED,Aman,Incorrect root cause identified by AI.,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-49D5D2,NET-001,2026-08-23T17:19:50.567686+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-49D5D2,NET-001,2026-08-23T17:19:50.572190+00:00,ACCEPTED,Aman,Looks accurate.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-10AB53,NET-001,2026-08-23T17:19:50.575710+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-10AB53,NET-001,2026-08-23T17:19:50.579442+00:00,ACCEPTED,AuditTester,Audit log validation.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-73B4B6,NET-001,2026-08-23T17:19:50.582874+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-73B4B6,NET-001,2026-08-23T17:19:50.586585+00:00,ACCEPTED,Aman,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-6DAD41,NET-001,2026-08-23T17:19:50.590796+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-6DAD41,NET-001,2026-08-23T17:19:50.595059+00:00,ACCEPTED,Rev1,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-CADB00,NET-001,2026-08-23T17:19:50.601445+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-CADB00,NET-001,2026-08-23T17:19:50.605837+00:00,MODIFIED,Rev2,Correction,Router sub-interface GigabitEthernet0/0.10 is down.,Correction test,0.95,0.95,Layer 3,Layer 3,True
REV-E2F7B6,NET-001,2026-08-23T17:19:50.609415+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-E2F7B6,NET-001,2026-08-23T17:19:50.613637+00:00,REJECTED,Rev3,Rejection test,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-1A4A30,NET-001,2026-08-23T17:19:50.618666+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-0302BF,NET-001,2026-08-23T17:19:50.623313+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
